Названия;Цена;Фото;Ссылка на товар
Названия;Цена;Фото;Ссылка на товар
Сотовый телефон Xiaomi Redmi Note 9 Pro 6/128GB тропический зеленый;19780 сом-1%19530 сом;/images/product/79958/1591194328_56970400.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-redmi-note-9-pro-6-128gb-tropicheskiy-zelenyy
Сотовый телефон Samsung Galaxy A52 (2021) 6/128GB (SM-A525F/DS) голубой;28780 сом-1%28610 сом;/images/product/93270/1622463460_84888000.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a52-2021-6-128gb-sm-a525f-ds-goluboy
Сотовый телефон Samsung Galaxy A52 (2021) 6/128GB (SM-A525F/DS) лавандовый;28780 сом-1%28610 сом;/images/product/93271/1622463511_79414900.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a52-2021-6-128gb-sm-a525f-ds-lavandovyy
Сотовый телефон Samsung Galaxy A52 (2021) 6/128GB (SM-A525F/DS) черный;29210 сом-2%28610 сом;/images/product/93272/1622463661_28486700.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a52-2021-6-128gb-sm-a525f-ds-chernyy
Сотовый телефон BRAVIS A504 Trace черный;7390 сом;/images/product/39000/39000.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a504-trace-chernyy
Сотовый телефон BRAVIS A504 Trace золотой;7390 сом;/images/product/39001/39001.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a504-trace-zolotoy
Сотовый телефон BRAVIS A504 Trace белый;7390 сом;/images/product/39002/39002.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a504-trace-belyy
Сотовый телефон Samsung Galaxy Z Flip3 (2021) 8/128GB (SM-F711B) черный;70210 сом-2%68940 сом;/images/product/99677/1635327983_14651700.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-z-flip3-2021-8-128gb-sm-f711b-chernyy
Сотовый телефон Xiaomi Redmi Note 10S 6/64GB голубой;18170 сом;/images/product/93022/1621883224_91619300.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-redmi-note-10s-6-64gb-goluboy
Сотовый телефон Samsung Galaxy Z Flip3 (2021) 8/128GB (SM-F711B) бежевый;70210 сом-2%68940 сом;/images/product/99678/1635328101_09979000.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-z-flip3-2021-8-128gb-sm-f711b-bezhevyy
Сотовый телефон Philips S326 серый;9420 сом;/images/product/39006/39006.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-philips-s326-seryy
Сотовый телефон BRAVIS A505 Joy Plus синий;7470 сом;//avatars.mds.yandex.net/get-mpic/96484/img_id7447538864012848741/9;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a505-joy-plus-siniy
Сотовый телефон Samsung Galaxy Z Flip3 (2021) 8/128GB (SM-F711B) зеленый;70210 сом-2%68940 сом;/images/product/99679/1635328154_82971400.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-z-flip3-2021-8-128gb-sm-f711b-zelenyy
Сотовый телефон BRAVIS A505 Joy Plus белый;7470 сом;/images/product/40544/40544.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a505-joy-plus-belyy
Сотовый телефон Ergo A551 Sky синий;8230 сом;//avatars.mds.yandex.net/get-mpic/96484/img_id7837171693509932706/9;https://www.kivano.kg/product/view/sotovyy-telefon-ergo-a551-sky-siniy
Сотовый телефон Ergo A551 Sky золотой;8230 сом;/images/product/40546/40546.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-ergo-a551-sky-zolotoy
Сотовый телефон Samsung Galaxy Z Flip3 (2021) 8/128GB (SM-F711B) лавандовый;70210 сом-2%68940 сом;/images/product/99685/1635330263_37144500.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-z-flip3-2021-8-128gb-sm-f711b-lavandovyy
Сотовый телефон Apple iPhone 13 128GB красный;69790 сом;/images/product/97897/1631808085_26488000.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-128gb-krasnyy
Сотовый телефон Xiaomi Redmi Note 10S 6/64GB черный;18170 сом-1%18000 сом;/images/product/93290/1622501264_72553400.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-redmi-note-10s-6-64gb-chernyy
Сотовый телефон Apple iPhone 13 256GB красный;83200 сом;/images/product/97898/1631808163_19486100.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-256gb-krasnyy
Сотовый телефон Xiaomi Redmi 9A 2/32GB зеленый;9680 сом-2%9510 сом;/images/product/82539/1597087470_22009200.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-redmi-9a-2-32gb-zelenyy
Сотовый телефон Apple iPhone 13 128GB синий;75820 сом-1%74970 сом;/images/product/97900/1631808440_79057200.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-128gb-siniy
Сотовый телефон Apple iPhone 13 256GB синий;84480 сом-2%83200 сом;/images/product/97901/1631808460_05048700.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-256gb-siniy
Сотовый телефон Xiaomi Redmi Note 8 (2021) 4/64Gb черный;15710 сом;/images/product/93294/1622503968_55572400.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-redmi-note-8-2021-4-64gb-chernyy
Сотовый телефон Xiaomi Poco F3 NFC 6/128GB синий;29290 сом;/images/product/93295/1622507988_66968300.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-xiaomi-poco-f3-nfc-6-128gb-siniy
Сотовый телефон Apple iPhone 13 128GB полуночный;75820 сом-1%74970 сом;/images/product/97903/1631808729_32480300.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-128gb-polunochnyy
Сотовый телефон Apple iPhone 13 256GB полуночный;84480 сом-2%83200 сом;/images/product/97904/1631808749_52759400.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-256gb-polunochnyy
Сотовый телефон Apple iPhone 13 128GB сияющая звезда;75820 сом-1%74970 сом;/images/product/97906/1631809004_80505000.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-128gb-siyayuschaya-zvezda
Сотовый телефон Apple iPhone 13 256GB сияющая звезда;84480 сом-2%83200 сом;/images/product/97907/1631809025_40225100.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-256gb-siyayuschaya-zvezda
Сотовый телефон Apple iPhone 13 Pro Max 128GB Dual Sim графитовый;113260 сом-1%111900 сом;/images/product/100723/1638254213_99776900.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-max-128gb-dual-sim-grafitovyy
Сотовый телефон Apple iPhone 13 128GB розовый;75820 сом-1%74970 сом;/images/product/97909/1631809348_37875500.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-128gb-rozovyy
Сотовый телефон Apple iPhone 13 256GB розовый;84480 сом-2%83200 сом;/images/product/97910/1631809368_06181800.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-256gb-rozovyy
Сотовый телефон Apple iPhone 13 Pro 128GB графитовый;109350 сом-5%103750 сом;/images/product/97912/1631811672_04783000.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-128gb-grafitovyy
Сотовый телефон Apple iPhone 13 Pro 256GB графитовый;114110 сом-2%112320 сом;/images/product/97913/1631811727_72990400.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-256gb-grafitovyy
Сотовый телефон Apple iPhone 13 Pro Max 128GB Dual Sim золотой;113260 сом-1%111900 сом;/images/product/100729/1638268124_38427900.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-max-128gb-dual-sim-zolotoy
Сотовый телефон Apple iPhone 13 Pro Max 128GB Dual Sim серебристый;113260 сом-1%111900 сом;/images/product/100730/1638268264_47253100.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-max-128gb-dual-sim-serebristyy
Сотовый телефон Nokia 105 Dual sim (2019) синий;2290 сом-7%2120 сом;/images/product/75387/1576667824_27740600.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-nokia-105-dual-sim-2019-siniy
Сотовый телефон Apple iPhone 13 Pro 1TB графитовый;141700 сом-1%140010 сом;/images/product/97915/1631811801_57040900.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-1tb-grafitovyy
Сотовый телефон Apple iPhone 13 Pro Max 128GB Dual Sim синий;114950 сом-1%114110 сом;/images/product/100731/1638268434_67581700.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-max-128gb-dual-sim-siniy
Сотовый телефон Apple iPhone 13 Pro 128GB синий;109350 сом-5%103750 сом;/images/product/97916/1631812105_74700200.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-128gb-siniy
Сотовый телефон Apple iPhone 12 Pro 128GB графитовый;87530 сом-1%86600 сом;/images/product/85117/1602798150_12212600.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-128gb-grafitovyy
Сотовый телефон Apple iPhone 13 Pro 256GB синий;114110 сом-2%112320 сом;/images/product/97917/1631812125_61155400.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-256gb-siniy
Сотовый телефон Apple iPhone 13 Pro Max 256GB Dual Sim серебристый;120560 сом;/images/product/100733/1638268915_62996900.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-max-256gb-dual-sim-serebristyy
Сотовый телефон Apple iPhone 12 Pro 128GB золотой;87530 сом-1%86600 сом;/images/product/85118/1602798252_36512000.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-128gb-zolotoy
Сотовый телефон Apple iPhone 12 Pro 128GB синий;87530 сом-1%86600 сом;/images/product/85119/1602798423_14851400.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-128gb-siniy
Сотовый телефон Apple iPhone 13 Pro 1TB синий;141700 сом-1%140010 сом;/images/product/97919/1631812173_61151400.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-1tb-siniy
Сотовый телефон Apple iPhone 13 Pro Max 256GB Dual Sim золотой;120560 сом;/images/product/100735/1638269037_24179600.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-max-256gb-dual-sim-zolotoy
Сотовый телефон Apple iPhone 12 Pro 128GB серебристый;87530 сом-1%86600 сом;/images/product/85120/1602798579_20659500.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-128gb-serebristyy
Сотовый телефон Apple iPhone 13 Pro 128GB золотой;109350 сом-5%103750 сом;/images/product/97920/1631812515_32549200.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-128gb-zolotoy
Сотовый телефон Apple iPhone 13 Pro Max 256GB Dual Sim графитовый;120560 сом;/images/product/100736/1638269231_94238000.jpg;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-13-pro-max-256gb-dual-sim-grafitovyy
