Названия;Цена;Фото;Ссылка на товар
Смартфон Apple iPhone 12 128GB Black;Цена:92 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2596_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple__iphone_12_128gb_black_mgja3_iphone_12_77_2596
Смартфон Xiaomi Redmi 9A 2/32GB Granite Gray;Цена:10 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2503_1_6.png;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_9a_2_32gb_granite_gray_77_2503
Смартфон Apple iPhone 7 32GB Gold;Цена:29 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1087_0_6.png;https://www.sulpak.kg/g/smartfon_apple_iphone_7_gold_32_gb
Смартфон Apple iPhone XR 64GB Black;Цена:62 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1739_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_xr_64gb_black
Смартфон Xiaomi Redmi 9C 3/64GB Midnight Gray;Цена:12 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2546_0_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_9c_3_64gb_midnight_gray_77_2546
Смартфон Apple iPhone 12 Pro 128GB Pacific Blue;Цена:117 900 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2624_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple__iphone_12_pro_128gb_pacific_blue_mgmn3_iphone_12_77_2624
Смартфон Huawei P30 Lite 128GB Peacock Blue;Цена:21 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1867_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_p30_lite_peacock_blue
Смартфон Xiaomi Redmi 9A 2/32GB Peacock Green;Цена:10 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2505_0_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_9a_2_32gb_peacock_green_77_2505
Смартфон Apple iPhone 7 32GB Silver;Цена:29 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1072_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_7_silver_32_gb
Смартфон Samsung Galaxy A31 Black;Цена:21 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2377_0_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_galaxy_a31_black_sm_a315fzkuskz_77_2377
Смартфон Samsung Galaxy A21s Red;Цена:17 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2467_1_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_galaxy_a21s_red_77_2467
Смартфон Poco X3 6/128GB Shadow Gray;Цена:25 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2581_5_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_poco_x3_6_128gb_shadow_gray_77_2581
Смартфон Poco X3 Pro 8/256GB Phantom Black;Цена:25 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2979_1_1.jpg;https://www.sulpak.kg/g/smartfon_poco_x3_pro_256gb_phantom_black_77_2979
Смартфон Samsung Galaxy A32 4/64GB Black;Цена:23 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2852_6_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_galaxy_a32_464gb_black_77_2852
Смартфон Apple iPhone 12 Pro 128GB Graphite;Цена:117 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2621_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple__iphone_12_pro_128gb_graphite_mgmk3_iphone_12_77_2621
Смартфон Apple iPhone 7 32GB Rose Gold;Цена:29 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1090_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_7_rose_gold_32_gb
Смартфон Apple iPhone XR 64GB (PRODUCT) RED;Цена:62 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1744_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_xr_64gb_product_red
Смартфон Samsung Galaxy S10 Lite Blue;Цена:35 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2333_0_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_galaxy_s10_lite_blue_sm_g770fzbgskz_77_2333
Смартфон Samsung Galaxy A52 4/128GB Awesome Black;Цена:31 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2883_0_1.jpg;https://www.sulpak.kg/g/smartfon_samsung__galaxy_a52_128gb_black_sm_a525fzkdskz_sm_a525fzkdskz_77_2883
Смартфон Poco X3 6/128GB Cobalt Blue;Цена:20 890 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2582_5_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_poco_x3_6_128gb_cobalt_blue_77_2582
Смартфон Apple iPhone 12 mini 64GB Black;Цена:73 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2650_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_12_mini_black_77_2650
